;WKT;NOMBRE;CARACT_SIT;AUTORES;TECNICA;F_E;TAMAÑO_TS;UBICACION;DIRECCION;DOM_ORIG;CALLE;ALTURA;BARRIO;COMUNA
192;POINT (-58.3756186129716 -34.6066679172304);RELIEVE;PODER JUDICIAL DE LA NACION;JUAN CARLOS MIRAGLIA;RELIEVE ESCULTORICO;0.0;S/M;PRIMER PISO;SAENZ PEÑA, ROQUE, PRES. DIAGONAL NORTE AV. 615;AV. DIAGONAL NORTE ROQUE SAENZ PEÑA 615;SAENZ PE\u00d1A, ROQUE, PRES. AV.;637;San Nicolas;Comuna 1
193;POINT (-58.3773407131398 -34.6057653960264);ALEGORIA;EX EDIFICIO DE YPF;ALBERTO LAGOS;RELIEVE;1938.0;S/M;HALLDE ACCESO;SAENZ PEÑA, ROQUE, PRES. DIAGONAL NORTE AV. 777;AV. DIAGONAL NORTE ROQUE SAENZ PEÑA 777;SAENZ PE\u00d1A, ROQUE, PRES. AV.;765;San Nicolas;Comuna 1
194;POINT (-58.3806290714001 -34.605930898329);TITULO DESCONOCIDO;GOB. C.BS. AS., EX MERCADO DEL PLATA;JUAN ANTONIO VAZQUEZ;MURAL CERAMICO;1963.0;10 X 6;HALLDE ACCESO;PELLEGRINI, CARLOS 211;CARLOS PELLEGRINI 211;PERON, JUAN DOMINGO, TTE. GENERAL;981;San Nicolas;Comuna 1
195;POINT (-58.3806774197147 -34.6050468215824);TITULO DESCONOCIDO;GOB. C.BS. AS., EX MERCADO DEL PLATA;JUAN ANTONIO VAZQUEZ;MURAL CERAMICO;1963.0;10 X 6;HALLDE ACCESO;PELLEGRINI, CARLOS 291;CARLOS PELLEGRINI 291;SARMIENTO;980;San Nicolas;Comuna 1
196;POINT (-58.4806549548568 -34.5833252590378);MITOLOGIA PORTEÑA, PARQUE CHAS;CLUB SOCIAL EL TREBOL;PEDRO GAETA;PINTURA MURAL;1989.0;S/M;INTERIOR;GANDARA 2840;GANDARA 2840;DUBLIN;4207;Parque Chas;Comuna 15
197;POINT (-58.387882896538 -34.6189938134868);TRABAJO, SOLIDARIDAD Y LUCHA;SINDICATO DE LOS OBREROS DE LA ALIMENTACION;RICARDO CARPANI;PINTURA MURAL;1966.0;S/M;SALON DE ACTOS;ESTADOS UNIDOS 1532;ESTADOS UNIDOS 1532;ESTADOS UNIDOS;1532;Constitucion;Comuna 1
198;POINT (-58.387882896538 -34.6189938134868);CONCIENCIA;SINDICATO DE LOS OBREROS DE LA ALIMENTACION;RICARDO CARPANI;PINTURA MURAL;1974.0;S/M;SALON DE ACTOS;ESTADOS UNIDOS 1532;ESTADOS UNIDOS 1532;ESTADOS UNIDOS;1532;Constitucion;Comuna 1
199;POINT (-58.387882896538 -34.6189938134868);TRABAJADORES;SINDICATO DE LOS OBREROS DE LA ALIMENTACION;PASCUAL DI BIANCO;PINTURA MURAL;1966.0;S/M;SALON DE ACTOS;ESTADOS UNIDOS 1532;ESTADOS UNIDOS 1532;ESTADOS UNIDOS;1532;Constitucion;Comuna 1
200;POINT (-58.3694280313247 -34.6041138828798);LAS COMUNICACIONES MODERNAS;CORREO CENTRAL;AMADEO DELL'ACQUA;OLEO SOBRE MADERA TERCIADA;1945.0;2 X 6;SALA DE CORREO;SARMIENTO 151;SARMIENTO 151;SARMIENTO;111;San Nicolas;Comuna 1
201;POINT (-58.3694280313247 -34.6041138828798);LAS COMUNICACIONES MARITIMAS DE LA PRIMERA EPOCA;CORREO CENTRAL;AMADEO DELL'ACQUA;OLEO SOBRE MADERA TERCIADA;1945.0;2 X 6;SALA DE CORREO;SARMIENTO 151;SARMIENTO 151;SARMIENTO;111;San Nicolas;Comuna 1
