rango,nombre,descripcion,categoria,publicaciones,seguidores,me_gusta_promedio,tasa_participacion
50,davidbeckham,male,"Health, Sports & Fitness",1600.0,76200000.0,1590.0,1.1
51,victoriassecret,brand,fashion,3100.0,73800000.0,3140.0,0.1
52,aliaabhatt,female,entertainment,1900.0,73600000.0,1900.0,2.0
53,nehakakkar,female,entertainment,2400.0,72900000.0,2380.0,1.3
54,nba,community,"Health, Sports & Fitness",53000.0,72600000.0,52950.0,0.3
55,jennierubyjane,female,entertainment,900.0,72400000.0,930.0,8.7
56,shawnmendes,male,entertainment,2500.0,71000000.0,2550.0,3.1
57,narendramodi,male,News & Politics,559000.0,70900000.0,559000.0,3.3
58,deepikapadukone,female,entertainment,347000.0,70500000.0,347000.0,1.4
59,katrinakaif,female,entertainment,1100.0,68900000.0,1050.0,2.6
60,emmawatson,female,entertainment,417000.0,68800000.0,417000.0,1.1
61,ronaldinho,male,"Health, Sports & Fitness",3000.0,68300000.0,3020.0,1.0
62,tomholland2013,male,entertainment,1200.0,67700000.0,1220.0,9.9
63,justintimberlake,male,entertainment,790000.0,67500000.0,790000.0,0.7
64,marvel,community,entertainment,7400.0,67000000.0,7390.0,0.4
65,sooyaaa__,female,entertainment,900.0,66599999.99999999,920.0,8.0
66,raffinagita1717,male,entertainment,18300.0,66000000.0,18260.0,0.4
67,camila_cabello,female,entertainment,3000.0,65800000.0,2970.0,1.8
68,roses_are_rosie,female,entertainment,879000.0,65200000.0,879000.0,8.3
69,jacquelinef143,female,entertainment,2500.0,64300000.0,2470.0,1.1
70,akshaykumar,male,entertainment,2000.0,63600000.0,2000.0,2.0
71,psg,male,"Health, Sports & Fitness",10500.0,63600000.0,10470.0,0.8
72,anitta,female,entertainment,5200.0,63500000.0,5220.0,1.2
73,maluma,female,entertainment,8200.0,62800000.0,8189.999999999999,1.3
74,willsmith,male,entertainment,1400.0,62700000.0,1410.0,1.8
75,karimbenzema,male,"Health, Sports & Fitness",2100.0,62000000.0,2070.0,1.7
76,premierleague,male,"Health, Sports & Fitness",21300.0,61800000.0,21290.0,0.3
77,anushkasharma,female,entertainment,1200.0,61600000.0,1200.0,3.3
78,manchesterunited,male,"Health, Sports & Fitness",23700.0,61400000.0,23730.0,0.8
79,milliebobbybrown,female,entertainment,336000.0,60300000.0,336000.0,6.0
80,urvashirautela,female,entertainment,2000.0,60200000.0,2029.9999999999998,0.7
81,marcelotwelve,male,"Health, Sports & Fitness",2700.0,60000000.0,2740.0,1.0
82,whinderssonnunes,male,entertainment,2800.0,58600000.0,2810.0,1.9
83,9gag,community,Lifestyle,31000.0,58100000.0,31040.0,0.5
84,karolg,male,entertainment,3300.0,58100000.0,3310.0,5.2
85,iamzlatanibrahimovic,male,"Health, Sports & Fitness",900.0,56800000.0,910.0,1.7
86,zacefron,male,entertainment,677000.0,56600000.0,677000.0,2.4
87,bellahadid,female,entertainment,3300.0,56600000.0,3280.0,1.8
88,chrishemsworth,male,entertainment,900.0,56100000.0,900.0,3.2
89,beingsalmankhan,male,entertainment,1200.0,56000000.0,1220.0,1.7
90,juventus,male,"Health, Sports & Fitness",13300.0,55900000.0,13280.0,0.4
91,paulpogba,male,"Health, Sports & Fitness",1300.0,55700000.0,1320.0,1.7
92,dishapatani,female,entertainment,2000.0,55500000.0,2000.0,2.0
93,zara,brand,fashion,3900.0,55200000.0,3940.0,0.1
94,mosalah,male,"Health, Sports & Fitness",870000.0,54800000.0,870000.0,2.3
95,tatawerneck,female,entertainment,5700.0,54600000.0,5710.0,0.9
96,sunnyleone,female,entertainment,4800.0,54400000.0,4800.0,0.8
97,sergioramos,male,"Health, Sports & Fitness",2300.0,54300000.0,2320.0,2.1
