DOMICILIO;CARACT_SITIO;AUTORES;F_E;TAAÑO_TS;UBICACION;TECNICA;NOMBRE_OBRA
AV. CORRIENTES 1551;LIBRERIA LOSADA;CESAR LOPEZ CLARO;1941;3 X 6;SALON;FRESCO;LAS ARTES
AV. LA PLATA 2428;BANCO CREDICOOP;DEMETRIO URRUCHUA;1965;S/M;SALON DE ENTRADA;FRESCO;TITULO DESCONOCIDO
AV. RIVADAVIA 4975;GALERIA PARIS;JUAN CARLOS CASTAGNINO;1959;5.50 X 6;ACCESOAV. RIVADAVIA;PINTURA MURAL;HOMBRE - ESPACIO - ESPERANZA
AV. RIVADAVIA 4955;GALERIA RIVADAVIA;ANATOLIO SOKOLOFF;1956;S/M;BAJO CLARABOYA CENTRAL;OLEO SOBRE TELA;EL PUERTO / EL DESCUBRIMIENTO DE AMERICA / LA VIDA URBANA
AV. RIVADAVIA 6836;GALERIA SAN JOSE DE FLORES;JUAN CARLOS CASTAGNINO;1956;S/M;CUPULA;FRESCO;LA FRATERNIDAD
AV. RIVADAVIA 6836;GALERIA SAN JOSE DE FLORES;JUAN CARLOS CASTAGNINO;1956;S/M;CUPULA;FRESCO;LA FERTILIDAD
AV. RIVADAVIA 6836;GALERIA SAN JOSE DE FLORES;ENRIQUE POLICASTRO;1956;S/M;CUPULA;FRESCO;LA PACHAMAMA
AV. RIVADAVIA 6836;GALERIA SAN JOSE DE FLORES;DEMETRIO URRUCHUA;1956;S/M;CUPULA;FRESCO;¡OH, SAN JOSE DE FLORES...
AV. SANTA FE 1660;GALERIA SANTA FE;RAUL SOLDI;1954;18 X 19;CUPULA;FRESCO;TITULO DESCONOCIDO
AV. SANTA FE 1660;GALERIA SANTA FE;LUIS SEOANE;1954;S/M;BOVEDA CALLE LATERAL;FRESCO;LOS MUSICOS
AV. SANTA FE 1660;GALERIA SANTA FE;GERTRUDIS CHALE;1954;S/M;SECTOR M.T. DE ALVEAR;FRESCO;EL INDIO
AV. SANTA FE 1660;GALERIA SANTA FE;NOEMI GERSTEIN;1954;S/M;ACCESOAV. SANTA FE;HIERRO FORJADO;LOS OBREROS
AV. SANTA FE 1660;GALERIA SANTA FE;RODOLFO PRESAS, LEOPOLDO TORRES AGÜERO;1954;S/M;BOVEDA POSTERIOR;FRESCO;TITULO DESCONOCIDO
AV. SANTA FE 1660;GALERIA SANTA FE;LEPOLDO TORRES AGÜERO ;1954;S/M;SECTOR M.T. DE ALVEAR;MOSAICO VENECIANO;TITULO DESCONOCIDO
